Make,Model,Year,Sales
acura,ILX,2021.0,14.685
acura,ILX,2020.0,11.757
acura,ILX,2019.0,18.531
acura,ILX,2018.0,20.43
acura,TSX,2016.0,6.287
acura,TSX,2015.0,28.865
acura,TSX,2014.0,32.076
acura,TSX,2013.0,31.998
acura,TSX,2012.0,38.035
acura,TSX,2011.0,30.365
acura,TLX,2021.0,26.548
acura,TLX,2020.0,34.846
acura,TLX,2019.0,47.08
acura,RLX,2021.0,1.019
acura,RLX,2020.0,1.237
acura,RLX,2019.0,2.195
acura,RLX,2018.0,5.014
acura,NSX,2021.0,238.0
acura,NSX,2020.0,581.0
acura,NSX,2019.0,2.0
acura,NSX,2018.0,206.0
acura,NSX,2017.0,221.0
acura,NSX,2016.0,182.0
acura,NSX,2007.0,238.0
acura,NSX,2006.0,415.0
acura,NSX,2005.0,884.0
acura,NSX,2004.0,652.0
acura,NSX,2003.0,1.94
acura,RDX,2021.0,62.876
acura,RDX,2020.0,51.295
acura,RDX,2019.0,51.026
acura,RDX,2018.0,44.75
acura,RDX,2017.0,15.196
acura,RDX,2016.0,10.153
acura,RDX,2015.0,23.356
acura,MDX,2021.0,52.019
acura,MDX,2020.0,54.886
acura,MDX,2019.0,58.208
acura,MDX,2018.0,53.04
acura,MDX,2017.0,43.271
acura,MDX,2016.0,31.178
acura,MDX,2015.0,58.606
acura,MDX,2014.0,57.948
acura,MDX,2013.0,57.281
acura,MDX,2012.0,40.95
acura,ZDX,2015.0,361.0
acura,ZDX,2014.0,1.564
acura,ZDX,2013.0,79.0
acura,CL,2005.0,6.593
acura,CL,2004.0,18.993
acura,CL,2003.0,20.968
acura,CL,2002.0,28.939
acura,TL,2015.0,24.318
acura,TL,2014.0,31.237
acura,TL,2013.0,33.62
acura,TL,2012.0,58.545
acura,TL,2011.0,78.218
acura,TL,2010.0,56.77
acura,TL,2009.0,69.484
acura,TL,2008.0,56.566
acura,TL,2007.0,23.151
acura,TL,2006.0,16.539
acura,RL,2013.0,1.096
acura,RL,2012.0,2.043
acura,RL,2011.0,6.262
acura,RL,2010.0,17.572
acura,RL,2009.0,6.829
acura,RL,2008.0,10.723
acura,RL,2007.0,13.366
acura,RL,2006.0,16.004
acura,RSX,2008.0,16.996
acura,RSX,2007.0,21.94
acura,RSX,2006.0,30.117
acura,Vigor,1996.0,8.469
acura,Vigor,1995.0,13.846
acura,Vigor,1994.0,0.0
acura,Legend,1997.0,18.159
acura,Legend,1996.0,38.866
acura,Legend,1995.0,65.689
acura,Legend,1994.0,64.638
acura,Legend,1993.0,54.713
acura,Legend,1992.0,0.0
acura,SLX,2001.0,694.0
acura,SLX,2000.0,1.299
acura,SLX,1999.0,200.0
alfa-romeo,Spider,1995.0,605.0
alfa-romeo,Spider,1994.0,1.389
alfa-romeo,Spider,1993.0,1.857
alfa-romeo,Spider,1992.0,3.401
alfa-romeo,Spider,1991.0,3.45
alfa-romeo,BMW,1996.0,357.0
alfa-romeo,BMW,1995.0,1.721
alfa-romeo,BMW,1994.0,1.549
